theme,url,img,lines,author
CONFIDENCE,/inspirational-quotes/8307-stay-afraid-but-do-it-anyway-what-s-important,https://assets.passiton.com/quotes/quote_artwork/8307/medium/20230913_wednesday_quote.jpg,"Stay afraid, but do it anyway. What’s important is the action. You don’t have to wait to be confident. Just do it and eventually the confidence will follow. ",<Author:0x0000560fb69dcb20>
CONFIDENCE,/inspirational-quotes/7907-it-is-not-the-mountain-we-conquer-but-ourselves,https://assets.passiton.com/quotes/quote_artwork/7907/medium/20230912_tuesday_quote.jpg,It is not the mountain we conquer but ourselves.,<Author:0x0000560fb6a99a40>
CONFIDENCE,/inspirational-quotes/6990-every-small-positive-change-we-make-in,https://assets.passiton.com/quotes/quote_artwork/6990/medium/20230911_monday_quote.jpg,Every small positive change we make in ourselves repays us in confidence in the future.,<Author:0x0000560fb6a6c950>
PREPARATION,/inspirational-quotes/8181-first-i-prepare-then-i-have-faith,https://assets.passiton.com/quotes/quote_artwork/8181/medium/20230908_friday_quote.jpg,"First, I prepare. Then I have faith.",<Author:0x0000560fb6a3e8e8>
PREPARATION,/inspirational-quotes/6108-we-cannot-always-build-the-future-for-our,https://assets.passiton.com/quotes/quote_artwork/6108/medium/20230907_thursday_quote.jpg,"We cannot always build the future for our youth, but we can build our youth for the future. ",<Author:0x0000560fb6ae6e08>
PREPARATION,/inspirational-quotes/6516-dont-judge-each-day-by-the-harvest-you-reap,https://assets.passiton.com/quotes/quote_artwork/6516/medium/20230906_wednesday_quote.jpg,"Don't judge each day by the harvest you reap, but by the seeds that you plant.",<Author:0x0000560fb6aba498>
PREPARATION,/inspirational-quotes/8390-it-s-better-to-look-ahead-and-prepare-than-to,https://assets.passiton.com/quotes/quote_artwork/8390/medium/20230905_tuesday_quote.jpg,"It’s better to look ahead and prepare, than to look back and regret.",<Author:0x0000560fb6b52130>
PREPARATION,/inspirational-quotes/8389-be-prepared-work-hard-and-hope-for-a-little,https://assets.passiton.com/quotes/quote_artwork/8389/medium/20230904_monday_quote.jpg,"Be prepared, work hard, and hope for a little luck. Recognize that the harder you work and the better prepared you are, the more luck you might have.",<Author:0x0000560fb6b2a090>
DETERMINATION,/inspirational-quotes/3220-never-never-never-give-up,https://assets.passiton.com/quotes/quote_artwork/3220/medium/20230901_friday_quote.jpg,"Never, never, never give up.",<Author:0x0000560fb6bbb040>
DETERMINATION,/inspirational-quotes/6714-if-you-have-made-mistakes-even-serious-ones,https://assets.passiton.com/quotes/quote_artwork/6714/medium/20230831_thursday_quote.jpg,"If you have made mistakes, even serious ones, there is always another chance for you.  What we call failure is not the falling down, but the staying down.",<Author:0x0000560fb6b90e58>
DETERMINATION,/inspirational-quotes/7058-obstacles-don-t-have-to-stop-you-if-you-run,https://assets.passiton.com/quotes/quote_artwork/7058/medium/20230830_wednesday_quote.jpg,"Obstacles don’t have to stop you. If you run into a wall, don’t turn around and give up. Figure out how to climb it, go through it or work around it.",<Author:0x0000560fb6c21638>
DETERMINATION,/inspirational-quotes/4218-there-is-no-chance-no-destiny-no-fate-that,https://assets.passiton.com/quotes/quote_artwork/4218/medium/20230829_tuesday_quote.jpg,"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.",<Author:0x0000560fb6bfa0b0>
DETERMINATION,/inspirational-quotes/6860-a-dream-doesnt-become-reality-through-magic-it,https://assets.passiton.com/quotes/quote_artwork/6860/medium/20230828_monday_quote.jpg,"A dream doesn't become reality through magic; it takes sweat, determination and hard work.",<Author:0x0000560fb6bcf3b0>
PATIENCE,/inspirational-quotes/7169-have-patience-with-all-things-but-first-of,https://assets.passiton.com/quotes/quote_artwork/7169/medium/20230825_friday_quote.jpg,"Have patience with all things, but, first of all with yourself.",<Author:0x0000560fb64a7bc8>
PATIENCE,/inspirational-quotes/7725-patience-is-not-simply-the-ability-to-wait-its,https://assets.passiton.com/quotes/quote_artwork/7725/medium/20230824_thursday_quote.jpg,Patience is not simply the ability to wait—it's how we behave while we're waiting. ,<Author:0x0000560fb6a8a748>
